"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "XML", "Vue", "CSS", "comment", "blank", "total"
"c:\project\MetaphorVis-main\README.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 10, 22
"c:\project\MetaphorVis-main\docs\assets\index.23539ebe.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 17, 1, 43
"c:\project\MetaphorVis-main\docs\assets\index.64b6a0f0.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\project\MetaphorVis-main\docs\data.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\project\MetaphorVis-main\docs\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\project\MetaphorVis-main\index.html", "HTML", 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\project\MetaphorVis-main\package-lock.json", "JSON", 0, 1816, 0, 0, 0, 0, 0, 0, 1, 1817
"c:\project\MetaphorVis-main\package.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\project\MetaphorVis-main\public\data.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\project\MetaphorVis-main\src\App.vue", "Vue", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\project\MetaphorVis-main\src\components\Card.vue", "Vue", 0, 0, 0, 0, 0, 58, 0, 1, 9, 68
"c:\project\MetaphorVis-main\src\components\DetailView.vue", "Vue", 0, 0, 0, 0, 0, 188, 0, 14, 15, 217
"c:\project\MetaphorVis-main\src\components\Index.vue", "Vue", 0, 0, 0, 0, 0, 583, 0, 38, 37, 658
"c:\project\MetaphorVis-main\src\data\content.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 28, 2, 48
"c:\project\MetaphorVis-main\src\data\paperData.js", "JavaScript", 2850, 0, 0, 0, 0, 0, 0, 1352, 2, 4204
"c:\project\MetaphorVis-main\src\main.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\project\MetaphorVis-main\src\metaphorlib.xml", "XML", 0, 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\project\MetaphorVis-main\vite.config.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 2908, 1856, 25, 12, 19, 841, 1, 1451, 101, 7214